credito;codigo_ciudad;cliente_tipo_identificacion;codigo_ocupacion;descripcion_ocu
184493;11001;1;J;Independiente Formal
122212;76001;1;I;Independiente
212188;25290;1;P;Pensionado
193047;63001;1;J;Independiente Formal
122209;11001;1;;
226209;25754;1;J;Independiente Formal
214315;11001;1;J;Independiente Formal
177188;25175;1;T;Transportador
146437;11001;1;I;Independiente
160289;11001;1;P;Pensionado
207771;50001;1;K;Independiente Informal
40245;11001;1;;
202958;11001;1;N;Comerciante
199121;11001;1;K;Independiente Informal
223928;25817;1;K;Independiente Informal
64743;11001;1;E;Empleado
230830;11001;1;P;Pensionado
138114;11001;1;;
213204;11001;1;J;Independiente Formal
230267;11001;1;R;Rentista de Capital
157087;73408;1;I;Independiente
191892;11001;1;F;Empleado ER
139643;25718;1;;
163692;25175;1;I;Independiente
203739;11001;1;H;Empleado ENR
184466;11001;1;R;Rentista de Capital
228388;25743;1;J;Independiente Formal
223656;11001;1;T;Transportador
149963;25286;1;I;Independiente
232751;11001;1;F;Empleado ER
148003;11001;1;I;Independiente
193742;25320;1;;
129694;11001;1;;
179270;50001;1;T;Transportador
197165;25269;1;I;Independiente
217964;11001;1;K;Independiente Informal
146714;11001;1;I;Independiente
196755;15176;1;J;Independiente Formal
216531;25899;1;J;Independiente Formal
129883;25799;1;P;Pensionado
188565;25799;1;T;Transportador
195108;25740;1;J;Independiente Formal
203192;25817;1;T;Transportador
163950;25769;1;E;Empleado
175588;11001;1;;
212387;11001;1;J;Independiente Formal
193154;11001;1;F;Empleado ER
157269;25878;1;I;Independiente
226789;11001;1;T;Transportador
178051;25386;1;;
165999;11001;1;K;Independiente Informal
178233;11001;1;;
86420;68001;1;I;Independiente
177917;25754;1;J;Independiente Formal
218367;95001;1;N;Comerciante
192915;25754;1;F;Empleado ER
175923;11001;1;H;Empleado ENR
218056;25754;1;J;Independiente Formal
218180;25898;1;K;Independiente Informal
124938;50001;1;;
189172;50226;1;;
179453;50001;1;;
226085;50606;1;P;Pensionado
164184;50606;1;;
196066;50001;1;;
132496;50001;1;I;Independiente
222803;25530;1;J;Independiente Formal
182888;50001;1;T;Transportador
43963;11001;1;E;Empleado
124597;15572;1;I;Independiente
159079;11001;1;;
205646;11001;1;T;Transportador
196737;11001;1;J;Independiente Formal
232938;15759;1;J;Independiente Formal
176532;25286;1;H;Empleado ENR
196836;50001;1;T;Transportador
170741;11001;1;T;Transportador
207063;11001;1;I;Independiente
178932;11001;1;T;Transportador
163750;11001;1;E;Empleado
182592;11001;1;T;Transportador
234720;11001;1;F;Empleado ER
189228;11001;1;R;Rentista de Capital
146539;11001;1;;
121267;11001;1;I;Independiente
200545;11001;1;J;Independiente Formal
139655;11001;1;E;Empleado
184189;11001;1;;
216449;85001;1;F;Empleado ER
215661;11001;1;J;Independiente Formal
219737;15673;1;G;Ganadero
167628;15469;1;K;Independiente Informal
182174;11001;1;;
178827;11001;1;J;Independiente Formal
229241;50001;1;O;Contratista
148188;11001;1;;
174926;25295;1;;
233582;15001;1;H;Empleado ENR
197268;11001;1;T;Transportador
140684;11001;1;I;Independiente
215266;11001;1;N;Comerciante
181805;11001;1;T;Transportador
157594;85001;1;;
203387;85010;1;N;Comerciante
206860;25899;1;J;Independiente Formal
206476;11001;1;K;Independiente Informal
162340;11001;1;E;Empleado
229777;15759;1;J;Independiente Formal
179979;50689;1;P;Pensionado
20058;11001;1;E;Empleado
228380;5088;1;F;Empleado ER
198111;11001;1;P;Pensionado
230351;11001;1;H;Empleado ENR
188122;11001;1;K;Independiente Informal
156012;76109;1;P;Pensionado
223268;13836;1;T;Transportador
200465;11001;1;;
208062;68307;1;N;Comerciante
215048;54520;1;T;Transportador
173219;68001;1;;
201990;25269;1;C;Agricultor
207778;68001;1;T;Transportador
154464;50006;1;I;Independiente
220535;68001;1;K;Independiente Informal
210762;85001;1;T;Transportador
183389;11001;1;K;Independiente Informal
226273;73001;1;N;Comerciante
205562;11001;1;J;Independiente Formal
161074;76001;1;E;Empleado
42271;11001;1;;
217146;11001;1;T;Transportador
168014;73001;1;T;Transportador
164565;73449;1;E;Empleado
234075;73861;1;K;Independiente Informal
227807;25430;1;T;Transportador
20811;11001;1;;
185392;76834;1;P;Pensionado
181836;76318;1;;
180771;11001;1;E;Empleado
177272;11001;1;;
181138;11001;1;J;Independiente Formal
224543;76892;1;T;Transportador
216422;25126;1;N;Comerciante
225485;25754;1;N;Comerciante
205316;50001;1;G;Ganadero
179176;8001;1;H;Empleado ENR
219831;50606;1;G;Ganadero
212115;8001;1;J;Independiente Formal
150526;76001;1;;
101850;13001;1;P;Pensionado
183562;25754;1;J;Independiente Formal
197009;11001;1;N;Comerciante
35224;11001;1;E;Empleado
222716;25785;1;T;Transportador
31136;11001;1;E;Empleado
40144;11001;1;E;Empleado
35764;11001;1;E;Empleado
230380;11001;1;J;Independiente Formal
204537;25899;1;K;Independiente Informal
182163;11001;1;;
104577;11001;1;;
224479;11001;1;F;Empleado ER
159267;11001;1;;
156674;25040;1;I;Independiente
211114;25040;1;C;Agricultor
169308;11001;1;;
187747;11001;1;R;Rentista de Capital
193432;11001;1;;
224824;11001;1;J;Independiente Formal
173775;11001;1;E;Empleado
193690;11001;1;R;Rentista de Capital
206434;11001;1;R;Rentista de Capital
211129;11001;1;H;Empleado ENR
209102;11001;1;J;Independiente Formal
183597;11001;1;J;Independiente Formal
155729;11001;1;I;Independiente
202728;11001;1;J;Independiente Formal
169840;11001;1;;
170191;25402;1;K;Independiente Informal
185561;25040;1;J;Independiente Formal
217301;25473;1;F;Empleado ER
187042;11001;1;;
122112;11001;1;;
202403;11001;1;K;Independiente Informal
167825;11001;1;K;Independiente Informal
202723;11001;1;H;Empleado ENR
234669;25430;1;F;Empleado ER
205519;25269;1;T;Transportador
148695;25260;1;;
209583;25040;1;T;Transportador
187487;25473;1;;
222179;11001;1;K;Independiente Informal
155073;11001;1;E;Empleado
222976;11001;1;T;Transportador
196994;11001;1;N;Comerciante
172865;25898;1;F;Empleado ER
212136;11001;1;T;Transportador
200523;11001;1;H;Empleado ENR
142036;25290;1;I;Independiente
146120;11001;1;I;Independiente
173416;25473;1;T;Transportador
45937;11001;1;;
159631;11001;1;I;Independiente
218355;11001;1;J;Independiente Formal
195901;11001;1;;
177642;11001;1;O;Contratista
233301;25175;1;N;Comerciante
178094;11001;1;;
233510;25126;1;J;Independiente Formal
223867;25817;1;F;Empleado ER
216656;25899;1;H;Empleado ENR
173944;25269;1;;
185853;25099;1;T;Transportador
169184;25099;1;P;Pensionado
198696;25099;1;T;Transportador
191507;25099;1;T;Transportador
184635;25430;1;O;Contratista
202124;25843;1;K;Independiente Informal
214262;25099;1;T;Transportador
183416;25099;1;T;Transportador
195881;25099;1;T;Transportador
40708;11001;1;;
191479;25473;1;;
157600;11001;1;I;Independiente
187450;11001;1;P;Pensionado
175805;50006;1;T;Transportador
217217;25126;1;H;Empleado ENR
135322;25126;1;I;Independiente
230606;25126;1;R;Rentista de Capital
124304;25785;1;;
186706;25126;1;P;Pensionado
173809;25126;1;I;Independiente
161617;25126;1;;
176803;25785;1;;
150075;25126;1;;
234615;25126;1;H;Empleado ENR
197623;25126;1;J;Independiente Formal
186902;25126;1;H;Empleado ENR
210247;11001;1;J;Independiente Formal
135928;11001;1;E;Empleado
198136;25126;1;J;Independiente Formal
153492;11001;1;E;Empleado
170474;11001;1;F;Empleado ER
88928;50001;1;I;Independiente
145862;11001;1;;
208844;11001;1;T;Transportador
211518;25154;1;T;Transportador
234624;25154;1;N;Comerciante
226563;25214;1;N;Comerciante
180338;25154;1;T;Transportador
167024;25154;1;E;Empleado
116497;11001;1;I;Independiente
194027;25200;1;T;Transportador
196133;25200;1;F;Empleado ER
220843;11001;1;N;Comerciante
215755;25899;1;T;Transportador
210614;25200;1;C;Agricultor
224562;25200;1;J;Independiente Formal
215536;25899;1;T;Transportador
181053;25175;1;F;Empleado ER
209883;25200;1;T;Transportador
198818;25307;1;F;Empleado ER
208042;25899;1;T;Transportador
143181;11001;1;I;Independiente
92224;25214;1;;
167087;25214;1;;
166172;25214;1;;
230759;25214;1;N;Comerciante
137940;25214;1;I;Independiente
156171;25175;1;;
202625;25214;1;;
192370;25126;1;T;Transportador
163267;25214;1;O;Contratista
109232;25214;1;;
64769;25214;1;I;Independiente
231824;15176;1;N;Comerciante
156099;25486;1;I;Independiente
181723;11001;1;P;Pensionado
220229;25843;1;T;Transportador
198455;11001;1;I;Independiente
214461;11001;1;N;Comerciante
174024;25269;1;C;Agricultor
203483;11001;1;I;Independiente
182219;11001;1;J;Independiente Formal
166065;25754;1;E;Empleado
154952;25799;1;;
184257;25175;1;;
150097;25175;1;E;Empleado
187676;25175;1;R;Rentista de Capital
200427;25175;1;F;Empleado ER
154676;25175;1;E;Empleado
234178;25486;1;F;Empleado ER
214963;25175;1;R;Rentista de Capital
198474;25175;1;N;Comerciante
232497;25175;1;T;Transportador
153700;25175;1;;
227918;25175;1;T;Transportador
231740;11001;1;R;Rentista de Capital
224907;25175;1;F;Empleado ER
226124;25899;1;J;Independiente Formal
187751;25214;1;J;Independiente Formal
192086;25175;1;I;Independiente
183410;11001;1;J;Independiente Formal
189540;50001;1;N;Comerciante
154751;50001;1;J;Independiente Formal
210860;25178;1;R;Rentista de Capital
198645;25178;1;K;Independiente Informal
219093;25178;1;C;Agricultor
224825;11001;1;H;Empleado ENR
85753;11001;1;E;Empleado
141184;25290;1;E;Empleado
167785;50001;1;I;Independiente
156845;11001;1;;
188320;11001;1;T;Transportador
168396;11001;1;F;Empleado ER
167296;11001;1;I;Independiente
147341;25181;1;;
146912;50001;1;;
190672;11001;1;J;Independiente Formal
221212;11001;1;J;Independiente Formal
206255;25181;1;C;Agricultor
130674;11001;1;;
232150;11001;1;T;Transportador
194311;25841;1;H;Empleado ENR
231775;11001;1;P;Pensionado
178350;50006;1;J;Independiente Formal
174919;50001;1;C;Agricultor
161754;11001;1;P;Pensionado
195852;11001;1;R;Rentista de Capital
157645;11001;1;I;Independiente
216798;25873;1;J;Independiente Formal
132921;11001;1;;
222828;11001;1;N;Comerciante
206409;25645;1;R;Rentista de Capital
227724;11001;1;T;Transportador
165549;25175;1;I;Independiente
212227;25286;1;H;Empleado ENR
208404;25175;1;F;Empleado ER
234200;25258;1;H;Empleado ENR
155181;25754;1;;
185371;11001;1;;
173506;11001;1;E;Empleado
139572;25269;1;;
173283;25269;1;I;Independiente
146130;11001;1;I;Independiente
215437;11001;1;T;Transportador
188100;11001;1;;
186292;25279;1;R;Rentista de Capital
234652;25279;1;C;Agricultor
216037;25279;1;J;Independiente Formal
190860;25279;1;K;Independiente Informal
187336;11001;1;K;Independiente Informal
171034;11001;1;I;Independiente
163571;50001;1;I;Independiente
194189;11001;1;;
155502;25279;1;;
180989;11001;1;;
173124;11001;1;;
131835;25279;1;;
197447;25279;1;J;Independiente Formal
143297;25279;1;E;Empleado
193464;11001;1;;
183291;25785;1;K;Independiente Informal
130078;50001;1;;
214276;25279;1;K;Independiente Informal
232672;25279;1;K;Independiente Informal
162495;25279;1;N;Comerciante
198735;11001;1;R;Rentista de Capital
186518;11001;1;T;Transportador
218094;25572;1;P;Pensionado
136475;11001;1;;
126817;11001;1;E;Empleado
170631;11001;1;R;Rentista de Capital
213753;50006;1;T;Transportador
184940;11001;1;;
161537;11001;1;;
172642;11001;1;E;Empleado
169993;11001;1;H;Empleado ENR
148074;13001;1;;
131621;11001;1;E;Empleado
222230;11001;1;P;Pensionado
199942;25473;1;T;Transportador
157101;25151;1;I;Independiente
142396;11001;1;;
153656;25281;1;I;Independiente
161072;50001;1;I;Independiente
232841;25430;1;F;Empleado ER
234749;25286;1;T;Transportador
204102;11001;1;J;Independiente Formal
210155;25286;1;C;Agricultor
184000;25286;1;T;Transportador
182393;25286;1;J;Independiente Formal
193275;25799;1;;
187713;25288;1;O;Contratista
176009;25785;1;P;Pensionado
218934;11001;1;K;Independiente Informal
125532;11001;1;;
165606;25430;1;I;Independiente
205706;11001;1;J;Independiente Formal
204435;25295;1;H;Empleado ENR
228693;25899;1;J;Independiente Formal
182273;25295;1;H;Empleado ENR
133740;25295;1;I;Independiente
192189;25295;1;F;Empleado ER
173217;11001;1;P;Pensionado
165186;11001;1;;
212097;11001;1;F;Empleado ER
47294;11001;1;I;Independiente
139698;25754;1;I;Independiente
162605;25269;1;I;Independiente
169452;25430;1;H;Empleado ENR
167269;11001;1;I;Independiente
162847;25299;1;;
167223;85440;1;I;Independiente
25189;11001;1;E;Empleado
129307;68001;1;E;Empleado
188835;50001;1;J;Independiente Formal
226598;11001;1;H;Empleado ENR
158338;25754;1;I;Independiente
175240;11001;1;R;Rentista de Capital
198098;25317;1;J;Independiente Formal
121386;25317;1;;
199830;11001;1;O;Contratista
191272;11001;1;K;Independiente Informal
181149;11001;1;T;Transportador
163154;11001;1;;
228600;25260;1;T;Transportador
184471;11001;1;;
152757;25320;1;;
193546;11001;1;P;Pensionado
154412;25126;1;T;Transportador
186546;25322;1;K;Independiente Informal
179364;25377;1;T;Transportador
175576;11001;1;I;Independiente
40474;25377;1;;
209532;25322;1;T;Transportador
223851;25326;1;G;Ganadero
231890;25817;1;G;Ganadero
217679;25322;1;K;Independiente Informal
235801;25899;1;T;Transportador
229509;25899;1;H;Empleado ENR
207487;25769;1;C;Agricultor
177784;25326;1;P;Pensionado
203823;25326;1;K;Independiente Informal
216103;25736;1;G;Ganadero
199642;25326;1;U;Universitario
209128;25269;1;J;Independiente Formal
216874;11001;1;T;Transportador
166456;50006;1;T;Transportador
227345;25754;1;F;Empleado ER
209156;25339;1;C;Agricultor
184278;11001;1;N;Comerciante
173807;11001;1;I;Independiente
162007;11001;1;P;Pensionado
206876;11001;1;P;Pensionado
236996;11001;1;K;Independiente Informal
216959;11001;1;K;Independiente Informal
160316;25372;1;I;Independiente
185270;11001;1;N;Comerciante
181456;25175;1;R;Rentista de Capital
156982;11001;1;I;Independiente
202205;11001;1;F;Empleado ER
201783;11001;1;T;Transportador
200864;11001;1;E;Empleado
150278;11001;1;I;Independiente
190448;25290;1;J;Independiente Formal
189523;25377;1;J;Independiente Formal
183314;25377;1;T;Transportador
205010;25377;1;K;Independiente Informal
165868;25758;1;E;Empleado
125240;25175;1;;
182317;11001;1;T;Transportador
128486;11001;1;;
184076;11001;1;;
211210;25295;1;J;Independiente Formal
200558;11001;1;J;Independiente Formal
152409;25151;1;;
19682;11001;1;E;Empleado
167333;25754;1;;
170652;11001;1;J;Independiente Formal
213756;25386;1;J;Independiente Formal
173435;50001;1;T;Transportador
230290;50313;1;G;Ganadero
196361;25430;1;K;Independiente Informal
195236;11001;1;F;Empleado ER
156400;25394;1;I;Independiente
169357;11001;1;T;Transportador
204090;11001;1;H;Empleado ENR
138150;25394;1;;
206477;25754;1;J;Independiente Formal
172242;11001;1;H;Empleado ENR
123781;11001;1;;
145672;11001;1;I;Independiente
219712;25754;1;J;Independiente Formal
191652;11001;1;H;Empleado ENR
211037;11001;1;F;Empleado ER
174930;11001;1;;
219734;11001;1;N;Comerciante
174034;25245;1;I;Independiente
201996;25290;1;H;Empleado ENR
163899;50150;1;;
166165;11001;1;E;Empleado
167420;25402;1;T;Transportador
200600;25402;1;J;Independiente Formal
199134;85440;1;J;Independiente Formal
217753;85162;1;T;Transportador
186736;11001;1;K;Independiente Informal
166225;25214;1;;
225296;25269;1;H;Empleado ENR
236558;11001;1;K;Independiente Informal
188352;11001;1;F;Empleado ER
212536;25402;1;J;Independiente Formal
134889;25269;1;E;Empleado
191601;25402;1;J;Independiente Formal
182129;11001;1;I;Independiente
198954;11001;1;J;Independiente Formal
237153;25426;1;J;Independiente Formal
60665;11001;1;E;Empleado
197324;11001;1;K;Independiente Informal
220951;25473;1;K;Independiente Informal
48110;25430;1;;
65318;25473;1;I;Independiente
180066;25430;1;T;Transportador
192489;25430;1;;
176713;25430;1;P;Pensionado
153369;25430;1;E;Empleado
200211;11001;1;F;Empleado ER
181894;25430;1;F;Empleado ER
235552;11001;1;P;Pensionado
161921;11001;1;I;Independiente
121388;25430;1;;
191434;11001;1;F;Empleado ER
123628;11001;1;;
230042;25899;1;R;Rentista de Capital
165609;25126;1;I;Independiente
207471;11001;1;J;Independiente Formal
129742;11001;1;E;Empleado
199993;11001;1;N;Comerciante
170815;11001;1;J;Independiente Formal
231624;11001;1;T;Transportador
184958;11001;1;K;Independiente Informal
224886;25438;1;P;Pensionado
203968;11001;1;T;Transportador
185743;11001;1;J;Independiente Formal
215075;25438;1;G;Ganadero
215326;11001;1;T;Transportador
214142;11001;1;K;Independiente Informal
205942;25438;1;H;Empleado ENR
227603;25438;1;G;Ganadero
132528;50001;1;;
181878;11001;1;J;Independiente Formal
170742;11001;1;R;Rentista de Capital
188324;50001;1;P;Pensionado
166599;11001;1;;
234090;25286;1;J;Independiente Formal
181070;11001;1;E;Empleado
135840;25740;1;E;Empleado
167562;25407;1;;
226006;25899;1;F;Empleado ER
219235;25486;1;K;Independiente Informal
218068;25473;1;J;Independiente Formal
214464;25486;1;F;Empleado ER
230395;25200;1;H;Empleado ENR
224968;25486;1;T;Transportador
66320;11001;1;E;Empleado
164362;11001;1;I;Independiente
201903;76147;1;T;Transportador
59819;11001;1;I;Independiente
171973;25286;1;P;Pensionado
181923;25473;1;F;Empleado ER
198073;25175;1;T;Transportador
153206;25491;1;I;Independiente
227034;11001;1;J;Independiente Formal
235457;11001;1;J;Independiente Formal
176509;11001;1;H;Empleado ENR
189216;25491;1;T;Transportador
225861;25506;1;C;Agricultor
154331;11001;1;;
172841;25899;1;R;Rentista de Capital
127075;11001;1;;
233197;11001;1;H;Empleado ENR
151605;11001;1;I;Independiente
231375;11001;1;J;Independiente Formal
164692;25878;1;I;Independiente
205965;25743;1;K;Independiente Informal
147555;25518;1;I;Independiente
186004;25513;1;F;Empleado ER
131449;11001;1;I;Independiente
138128;25535;1;I;Independiente
225791;25535;1;J;Independiente Formal
209600;11001;1;T;Transportador
203282;85001;1;H;Empleado ENR
169588;50006;1;I;Independiente
229318;11001;1;N;Comerciante
225244;11001;1;J;Independiente Formal
223182;11001;1;T;Transportador
210840;25535;1;C;Agricultor
229967;11001;1;H;Empleado ENR
227635;50001;1;G;Ganadero
162371;25320;1;I;Independiente
220672;25817;1;T;Transportador
206649;11001;1;N;Comerciante
201661;11001;1;T;Transportador
213931;15106;1;N;Comerciante
234337;5147;1;T;Transportador
235977;11001;1;J;Independiente Formal
202963;11001;1;F;Empleado ER
134932;11001;1;I;Independiente
170446;11001;1;;
235978;11001;1;A;Ama de casa
230030;11001;1;J;Independiente Formal
135852;25875;1;E;Empleado
233935;11001;1;F;Empleado ER
218551;25281;1;T;Transportador
201796;11001;1;C;Agricultor
172578;50318;1;;
213926;25594;1;N;Comerciante
161130;25295;1;T;Transportador
135129;50606;1;;
173863;50001;1;;
175405;50568;1;I;Independiente
153776;11001;1;;
157813;25335;1;;
178198;50001;1;J;Independiente Formal
194302;11001;1;H;Empleado ENR
168302;11001;1;I;Independiente
172912;11001;1;N;Comerciante
173474;11001;1;J;Independiente Formal
179714;25898;1;P;Pensionado
219133;50001;1;P;Pensionado
169211;25126;1;I;Independiente
213458;25899;1;T;Transportador
158578;25126;1;I;Independiente
192455;25781;1;N;Comerciante
172671;11001;1;;
166943;25035;1;I;Independiente
189463;11001;1;P;Pensionado
138550;25645;1;;
188679;11001;1;J;Independiente Formal
228169;11001;1;K;Independiente Informal
221679;25645;1;N;Comerciante
211565;25245;1;T;Transportador
235667;25430;1;H;Empleado ENR
187000;25645;1;;
233782;25645;1;K;Independiente Informal
182526;25645;1;J;Independiente Formal
190322;11001;1;;
184514;25645;1;J;Independiente Formal
183346;25524;1;C;Agricultor
193714;25524;1;H;Empleado ENR
158959;11001;1;I;Independiente
162282;11001;1;I;Independiente
180899;25290;1;;
158274;11001;1;E;Empleado
130103;11001;1;E;Empleado
184521;11001;1;J;Independiente Formal
147310;11001;1;I;Independiente
158908;25740;1;;
236118;11001;1;T;Transportador
186729;25126;1;F;Empleado ER
150422;11001;1;E;Empleado
181509;25290;1;;
167649;11001;1;;
180937;13001;1;T;Transportador
186847;25653;1;I;Independiente
192320;25473;1;T;Transportador
234856;25200;1;C;Agricultor
147348;11001;1;;
190385;11001;1;T;Transportador
155023;11001;1;;
85665;25899;1;I;Independiente
202620;25402;1;N;Comerciante
198688;11001;1;T;Transportador
234164;25269;1;H;Empleado ENR
154429;11001;1;;
217113;25658;1;T;Transportador
162518;25899;1;I;Independiente
178392;25430;1;;
213400;25473;1;F;Empleado ER
170089;11001;1;T;Transportador
161525;11001;1;E;Empleado
187176;11001;1;T;Transportador
207879;25754;1;P;Pensionado
207854;11001;1;T;Transportador
201649;25269;1;T;Transportador
120926;11001;1;I;Independiente
233966;25754;1;K;Independiente Informal
232240;73001;1;F;Empleado ER
147043;11001;1;E;Empleado
174518;11001;1;J;Independiente Formal
151936;11001;1;;
193320;11001;1;I;Independiente
49895;25718;1;;
128305;11001;1;E;Empleado
222144;25290;1;H;Empleado ENR
194994;25718;1;T;Transportador
211978;25430;1;T;Transportador
164529;25754;1;T;Transportador
161831;11001;1;I;Independiente
207335;25402;1;T;Transportador
204758;25269;1;F;Empleado ER
235035;11001;1;J;Independiente Formal
134793;11001;1;I;Independiente
214439;11001;1;T;Transportador
204566;25295;1;J;Independiente Formal
184717;11001;1;;
236250;25736;1;N;Comerciante
203096;25736;1;T;Transportador
117349;25736;1;I;Independiente
227566;25326;1;C;Agricultor
210142;25736;1;C;Agricultor
236997;25736;1;T;Transportador
156157;11001;1;I;Independiente
224572;11001;1;K;Independiente Informal
187631;25312;1;K;Independiente Informal
138710;25805;1;I;Independiente
216500;11001;1;O;Contratista
208753;25740;1;J;Independiente Formal
161279;11001;1;E;Empleado
213004;25290;1;J;Independiente Formal
223788;11001;1;J;Independiente Formal
170595;25745;1;K;Independiente Informal
172818;11001;1;K;Independiente Informal
171764;25175;1;J;Independiente Formal
237103;25745;1;O;Contratista
186461;11001;1;;
149689;25745;1;I;Independiente
197648;25473;1;J;Independiente Formal
134240;25745;1;I;Independiente
162151;25745;1;I;Independiente
189290;25745;1;;
228706;50001;1;J;Independiente Formal
170840;25754;1;;
184326;11001;1;R;Rentista de Capital
152403;11001;1;I;Independiente
181731;11001;1;F;Empleado ER
183447;25740;1;C;Agricultor
124653;11001;1;I;Independiente
182854;85162;1;G;Ganadero
185159;25740;1;G;Ganadero
144550;25740;1;I;Independiente
164244;25740;1;;
63081;25740;1;I;Independiente
123706;11001;1;;
155721;25740;1;I;Independiente
184304;25758;1;J;Independiente Formal
170011;25758;1;T;Transportador
219000;11001;1;T;Transportador
188880;25899;1;T;Transportador
150047;11001;1;I;Independiente
153711;25758;1;;
215459;11001;1;J;Independiente Formal
46292;11001;1;;
129304;76001;1;I;Independiente
170141;11001;1;N;Comerciante
197461;11001;1;F;Empleado ER
143089;11001;1;I;Independiente
201855;11001;1;J;Independiente Formal
180295;11001;1;R;Rentista de Capital
183970;11001;1;I;Independiente
53561;25269;1;I;Independiente
196668;25769;1;C;Agricultor
186694;25260;1;J;Independiente Formal
216902;25260;1;K;Independiente Informal
172500;25260;1;I;Independiente
204208;25260;1;K;Independiente Informal
205123;11001;1;F;Empleado ER
158583;25740;1;I;Independiente
212917;25740;1;T;Transportador
124193;11001;1;E;Empleado
182953;25740;1;H;Empleado ENR
217810;11001;1;T;Transportador
219043;25754;1;F;Empleado ER
219236;25286;1;K;Independiente Informal
185973;25183;1;;
173670;11001;1;I;Independiente
224630;11001;1;F;Empleado ER
178357;25772;1;J;Independiente Formal
165437;25772;1;I;Independiente
191052;25772;1;;
74625;11001;1;I;Independiente
170968;11001;1;F;Empleado ER
143077;11001;1;T;Transportador
225464;25772;1;T;Transportador
191171;25772;1;J;Independiente Formal
158220;25772;1;I;Independiente
171145;25772;1;E;Empleado
212819;25772;1;H;Empleado ENR
217668;25772;1;T;Transportador
154510;25772;1;E;Empleado
191918;25513;1;;
220964;25214;1;J;Independiente Formal
215035;11001;1;G;Ganadero
171094;13001;1;I;Independiente
174368;11001;1;T;Transportador
130419;25772;1;;
156544;11001;1;I;Independiente
189613;11001;1;H;Empleado ENR
212402;11001;1;F;Empleado ER
191598;11001;1;T;Transportador
182246;11001;1;;
205553;25126;1;T;Transportador
210927;25779;1;T;Transportador
227240;25843;1;J;Independiente Formal
185961;11001;1;I;Independiente
181673;25785;1;T;Transportador
185950;11001;1;T;Transportador
210961;25799;1;R;Rentista de Capital
216832;25785;1;H;Empleado ENR
185912;25785;1;T;Transportador
134962;25785;1;I;Independiente
188862;25799;1;J;Independiente Formal
225594;25785;1;T;Transportador
198542;25785;1;J;Independiente Formal
190019;63001;1;I;Independiente
208629;11001;1;I;Independiente
232259;25899;1;T;Transportador
222727;25200;1;C;Agricultor
224533;25843;1;T;Transportador
223912;25899;1;J;Independiente Formal
231920;25899;1;J;Independiente Formal
216627;25793;1;J;Independiente Formal
227894;11001;1;N;Comerciante
223923;25781;1;H;Empleado ENR
219202;25797;1;K;Independiente Informal
187411;50001;1;N;Comerciante
129299;11001;1;I;Independiente
185914;25799;1;T;Transportador
230486;25799;1;T;Transportador
159307;25269;1;T;Transportador
191262;25799;1;R;Rentista de Capital
236760;25799;1;T;Transportador
169169;25214;1;T;Transportador
165842;25175;1;I;Independiente
168961;25214;1;J;Independiente Formal
208255;25430;1;K;Independiente Informal
163801;25754;1;P;Pensionado
185976;11001;1;R;Rentista de Capital
217418;25245;1;C;Agricultor
158456;11001;1;I;Independiente
180320;11001;1;H;Empleado ENR
138041;11001;1;;
190992;11001;1;F;Empleado ER
167078;11001;1;E;Empleado
203231;11001;1;J;Independiente Formal
