"credito";"codigo_ciudad";"cliente_tipo_identificacion";"codigo_ocupacion"
179453;50001;1;""
226085;50606;1;P
164184;50606;1;""
205214;50001;1;J
132496;50001;1;I
222803;25530;1;J
182888;50001;1;T
43963;11001;1;E
124597;15572;1;I
159079;11001;1;""
205646;11001;1;T
196737;11001;1;J
232938;15759;1;J
176532;25286;1;H
196836;50001;1;T
170741;11001;1;T
207063;11001;1;I
178932;11001;1;T
163750;11001;1;E
196167;11001;1;T
234720;11001;1;F
189228;11001;1;R
146539;11001;1;""
121266;11001;1;I
144596;11001;1;""
139655;11001;1;E
184189;11001;1;""
216449;85001;1;F
215661;11001;1;J
219737;15673;1;G
167628;15469;1;K
182174;11001;1;""
178827;11001;1;J
229241;50001;1;O
148188;11001;1;""
191463;25295;1;H
233582;15001;1;H
197268;11001;1;T
140684;11001;1;I
220741;11001;1;N
181805;11001;1;T
157594;85001;1;""
203387;85010;1;N
206860;25899;1;J
206476;11001;1;K
162340;11001;1;E
229777;15759;1;J
179979;50689;1;P
20058;11001;1;E
228380;5088;1;F
198111;11001;1;P
230351;11001;1;H
188122;11001;1;K
156012;76109;1;P
223268;13836;1;T
200465;11001;1;""
208062;68307;1;N
215048;54520;1;T
173219;68001;1;""
201990;25269;1;C
226665;68001;1;T
154464;50006;1;I
220535;68001;1;K
210762;85001;1;T
183389;11001;1;K
226273;73001;1;N
205562;11001;1;J
161074;76001;1;E
42271;11001;1;""
217146;11001;1;T
168014;73001;1;T
164565;73449;1;E
234075;73861;1;K
227807;25430;1;T
20811;11001;1;""
185392;76834;1;P
181836;76318;1;""
180771;11001;1;E
177272;11001;1;""
181138;11001;1;J
224543;76892;1;T
216422;25126;1;N
225485;25754;1;N
205316;50001;1;G
179176;8001;1;H
219831;50606;1;G
212115;8001;1;J
150526;76001;1;""
101850;13001;1;P
183562;25754;1;J
171392;11001;1;N
35224;11001;1;E
222716;25785;1;T
31136;11001;1;E
40144;11001;1;E
35764;11001;1;E
230380;11001;1;J
204537;25899;1;K
182163;11001;1;""
104577;11001;1;""
224479;11001;1;F
159267;11001;1;""
156674;25040;1;I
211114;25040;1;C
169308;11001;1;""
187747;11001;1;R
193432;11001;1;""
224824;11001;1;J
173775;11001;1;E
193690;11001;1;R
206434;11001;1;R
211129;11001;1;H
209102;11001;1;J
183597;11001;1;J
155729;11001;1;I
202728;11001;1;J
169840;11001;1;""
170191;25402;1;K
185561;25040;1;J
217301;25473;1;F
187042;11001;1;""
122112;11001;1;""
202403;11001;1;K
167825;11001;1;K
202723;11001;1;H
234669;25430;1;F
205519;25269;1;T
148695;25260;1;""
209583;25040;1;T
187487;25473;1;""
222179;11001;1;K
155073;11001;1;E
222976;11001;1;T
196994;11001;1;N
172865;25898;1;F
212136;11001;1;T
200523;11001;1;H
161889;25290;1;I
146120;11001;1;I
173416;25473;1;T
45937;11001;1;""
159631;11001;1;I
218355;11001;1;J
195901;11001;1;""
177642;11001;1;O
233301;25175;1;N
178094;11001;1;""
233510;25126;1;J
223867;25817;1;F
216656;25899;1;H
173944;25269;1;""
185853;25099;1;T
169184;25099;1;P
198696;25099;1;T
191507;25099;1;T
184635;25430;1;O
202124;25843;1;K
214262;25099;1;T
183416;25099;1;T
195881;25099;1;T
40708;11001;1;""
191479;25473;1;""
157600;11001;1;I
187450;11001;1;P
175805;50006;1;T
217217;25126;1;H
135322;25126;1;I
230606;25126;1;R
124304;25785;1;""
186706;25126;1;P
173809;25126;1;I
161617;25126;1;""
176803;25785;1;""
150075;25126;1;""
234615;25126;1;H
197623;25126;1;J
186902;25126;1;H
210247;11001;1;J
135928;11001;1;E
198136;25126;1;J
153492;11001;1;E
170474;11001;1;F
88928;50001;1;I
145862;11001;1;""
208844;11001;1;T
211518;25154;1;T
234624;25154;1;N
226563;25214;1;N
180338;25154;1;T
167024;25154;1;E
116497;11001;1;I
194027;25200;1;T
196133;25200;1;F
220843;11001;1;N
215755;25899;1;T
210614;25200;1;C
224562;25200;1;J
215536;25899;1;T
181053;25175;1;F
209883;25200;1;T
198818;25307;1;F
208042;25899;1;T
143181;11001;1;I
92224;25214;1;""
193906;25214;1;I
194096;25214;1;""
230759;25214;1;N
137940;25214;1;I
156171;25175;1;""
202625;25214;1;""
192370;25126;1;T
163267;25214;1;O
109232;25214;1;""
64769;25214;1;I
231824;15176;1;N
156099;25486;1;I
181723;11001;1;P
220229;25843;1;T
162332;11001;1;I
214461;11001;1;N
174024;25269;1;C
203483;11001;1;I
182219;11001;1;J
219717;25754;1;J
154952;25799;1;""
184257;25175;1;""
150097;25175;1;E
187676;25175;1;R
200427;25175;1;F
154676;25175;1;E
179806;25486;1;F
214963;25175;1;R
198474;25175;1;N
232497;25175;1;T
153700;25175;1;""
227918;25175;1;T
231740;11001;1;R
224907;25175;1;F
226124;25899;1;J
187751;25214;1;J
192086;25175;1;I
183410;11001;1;J
189540;50001;1;N
229672;50001;1;J
210860;25178;1;R
198645;25178;1;K
219093;25178;1;C
224825;11001;1;H
85753;11001;1;E
141184;25290;1;E
167785;50001;1;I
156845;11001;1;""
219590;11001;1;T
168396;11001;1;F
167296;11001;1;I
147341;25181;1;""
146912;50001;1;""
190672;11001;1;J
221212;11001;1;J
206255;25181;1;C
130674;11001;1;""
167591;11001;1;""
194311;25841;1;H
231775;11001;1;P
178350;50006;1;J
174919;50001;1;C
161754;11001;1;P
195852;11001;1;R
157645;11001;1;I
216798;25873;1;J
132921;11001;1;""
222828;11001;1;N
236888;25645;1;R
227724;11001;1;T
165549;25175;1;I
212227;25286;1;H
208404;25175;1;F
234200;25258;1;H
194141;25754;1;I
185371;11001;1;""
173506;11001;1;E
139572;25269;1;""
173283;25269;1;I
146130;11001;1;I
215437;11001;1;T
188100;11001;1;""
186292;25279;1;R
234652;25279;1;C
172838;25279;1;""
190860;25279;1;K
187336;11001;1;K
171034;11001;1;I
163571;50001;1;I
194189;11001;1;""
155502;25279;1;""
180989;11001;1;""
173124;11001;1;""
194633;25279;1;J
204349;25279;1;J
143297;25279;1;E
193464;11001;1;""
183291;25785;1;K
130078;50001;1;""
214276;25279;1;K
232672;25279;1;K
162495;25279;1;N
198735;11001;1;R
186518;11001;1;T
218094;25572;1;P
136475;11001;1;""
126817;11001;1;E
170631;11001;1;R
234812;50006;1;T
184940;11001;1;""
161537;11001;1;""
172642;11001;1;E
169993;11001;1;H
148074;13001;1;""
131621;11001;1;E
222230;11001;1;P
199942;25473;1;T
157101;25151;1;I
142396;11001;1;""
153656;25281;1;I
161072;50001;1;I
232841;25430;1;F
234749;25286;1;T
204102;11001;1;J
210155;25286;1;C
184000;25286;1;T
182393;25286;1;J
193275;25799;1;""
187713;25288;1;O
176009;25785;1;P
218934;11001;1;K
125532;11001;1;""
165606;25430;1;I
182671;11001;1;J
204435;25295;1;H
228693;25899;1;J
182273;25295;1;H
133740;25295;1;I
192189;25295;1;F
173217;11001;1;P
203814;11001;1;T
212097;11001;1;F
47294;11001;1;I
139698;25754;1;I
162605;25269;1;I
169452;25430;1;H
167269;11001;1;I
162847;25299;1;""
167223;85440;1;I
25189;11001;1;E
129307;68001;1;E
188835;50001;1;J
226598;11001;1;H
158338;25754;1;I
175240;11001;1;R
198098;25317;1;J
121386;25317;1;""
199830;11001;1;O
191272;11001;1;K
181149;11001;1;T
163154;11001;1;""
228600;25260;1;T
184471;11001;1;""
152757;25320;1;""
193546;11001;1;P
182574;25126;1;T
186546;25322;1;K
179364;25377;1;T
175576;11001;1;I
40474;25377;1;""
209532;25322;1;T
223851;25326;1;G
231890;25817;1;G
217679;25322;1;K
235801;25899;1;T
229509;25899;1;H
207487;25769;1;C
177784;25326;1;P
203823;25326;1;K
216103;25736;1;G
199642;25326;1;U
209128;25269;1;J
236889;11001;1;T
166456;50006;1;T
227345;25754;1;F
209156;25339;1;C
184278;11001;1;N
162061;11001;1;""
162007;11001;1;P
206876;11001;1;P
236996;11001;1;K
216959;11001;1;K
160316;25372;1;I
185270;11001;1;N
181456;25175;1;R
156982;11001;1;I
202205;11001;1;F
217005;11001;1;T
163082;11001;1;""
150278;11001;1;I
190448;25290;1;J
189523;25377;1;J
183314;25377;1;T
205010;25377;1;K
165868;25758;1;E
125240;25175;1;""
182317;11001;1;T
128486;11001;1;""
184076;11001;1;""
211210;25295;1;J
189176;11001;1;""
152409;25151;1;""
19682;11001;1;E
167333;25754;1;""
170652;11001;1;J
213756;25386;1;J
173435;50001;1;T
230290;50313;1;G
196361;25430;1;K
195236;11001;1;F
156400;25394;1;I
169357;11001;1;T
204090;11001;1;H
138150;25394;1;""
206477;25754;1;J
172242;11001;1;H
123781;11001;1;""
145672;11001;1;I
211094;25754;1;J
191652;11001;1;H
211037;11001;1;F
174930;11001;1;""
219734;11001;1;N
174034;25245;1;I
201996;25290;1;H
163899;50150;1;""
166165;11001;1;E
167420;25402;1;T
172900;25402;1;""
199134;85440;1;J
217753;85162;1;T
186736;11001;1;K
166225;25214;1;""
225296;25269;1;H
236558;11001;1;K
188352;11001;1;F
212536;25402;1;J
134889;25269;1;E
191601;25402;1;J
182129;11001;1;I
198954;11001;1;J
237153;25426;1;J
60665;11001;1;E
184047;11001;1;""
220951;25473;1;K
48110;25430;1;""
65318;25473;1;I
180066;25430;1;T
192489;25430;1;""
176713;25430;1;P
153369;25430;1;E
200211;11001;1;F
228332;25430;1;F
235552;11001;1;P
161921;11001;1;I
121388;25430;1;""
191434;11001;1;F
123628;11001;1;""
230042;25899;1;R
165609;25126;1;I
207471;11001;1;J
129742;11001;1;E
199993;11001;1;N
170815;11001;1;J
231624;11001;1;T
184958;11001;1;K
224886;25438;1;P
203968;11001;1;T
185743;11001;1;J
215075;25438;1;G
215326;11001;1;T
214142;11001;1;K
205942;25438;1;H
227603;25438;1;G
132528;50001;1;""
181878;11001;1;J
170742;11001;1;R
188324;50001;1;P
166599;11001;1;""
234090;25286;1;J
181070;11001;1;E
135840;25740;1;E
167562;25407;1;""
226006;25899;1;F
219235;25486;1;K
218068;25473;1;J
214464;25486;1;F
230395;25200;1;H
224968;25486;1;T
66320;11001;1;E
164362;11001;1;I
201903;76147;1;T
59819;11001;1;I
205065;25286;1;P
166641;25473;1;F
198073;25175;1;T
153206;25491;1;I
176248;11001;1;J
235457;11001;1;J
176509;11001;1;H
189216;25491;1;T
225861;25506;1;C
154331;11001;1;""
172841;25899;1;R
127075;11001;1;""
233197;11001;1;H
151605;11001;1;I
231375;11001;1;J
164692;25878;1;I
205965;25743;1;K
147555;25518;1;I
186004;25513;1;F
131449;11001;1;I
138128;25535;1;I
225791;25535;1;J
209600;11001;1;T
203282;85001;1;H
169588;50006;1;I
229318;11001;1;N
225244;11001;1;J
223182;11001;1;T
210840;25535;1;C
229967;11001;1;H
227635;50001;1;G
162371;25320;1;I
220672;25817;1;T
206649;11001;1;N
201661;11001;1;T
213931;15106;1;N
234337;5147;1;T
235977;11001;1;J
202963;11001;1;F
134932;11001;1;I
170446;11001;1;""
235978;11001;1;A
230030;11001;1;J
135852;25875;1;E
233935;11001;1;F
218551;25281;1;T
201796;11001;1;C
172578;50318;1;""
213926;25594;1;N
161130;25295;1;T
135129;50606;1;""
173863;50001;1;""
175405;50568;1;I
153776;11001;1;""
157813;25335;1;""
178198;50001;1;J
194302;11001;1;H
205497;11001;1;I
172912;11001;1;N
173474;11001;1;J
179714;25898;1;P
219133;50001;1;P
169211;25126;1;I
213458;25899;1;T
158578;25126;1;I
192455;25781;1;N
172671;11001;1;""
166943;25035;1;I
189463;11001;1;P
138550;25645;1;""
188679;11001;1;J
228169;11001;1;K
221679;25645;1;N
211565;25245;1;T
235667;25430;1;H
187000;25645;1;""
212407;25645;1;K
182526;25645;1;J
190322;11001;1;""
184514;25645;1;J
183346;25524;1;C
193714;25524;1;H
158959;11001;1;I
162282;11001;1;I
180899;25290;1;""
158274;11001;1;E
130103;11001;1;E
184521;11001;1;J
147310;11001;1;I
158908;25740;1;""
236118;11001;1;T
186729;25126;1;F
150422;11001;1;E
181509;25290;1;""
167649;11001;1;""
180937;13001;1;T
186847;25653;1;I
192320;25473;1;T
234856;25200;1;C
147348;11001;1;""
190385;11001;1;T
155023;11001;1;""
85665;25899;1;I
202620;25402;1;N
198688;11001;1;T
234164;25269;1;H
154429;11001;1;""
217113;25658;1;T
162518;25899;1;I
178392;25430;1;""
213400;25473;1;F
170089;11001;1;T
161525;11001;1;E
187176;11001;1;T
207879;25754;1;P
207854;11001;1;T
201649;25269;1;T
120926;11001;1;I
233966;25754;1;K
232240;73001;1;F
147043;11001;1;E
174518;11001;1;J
151936;11001;1;""
193320;11001;1;I
49895;25718;1;""
128305;11001;1;E
222144;25290;1;H
194994;25718;1;T
211978;25430;1;T
164529;25754;1;T
161831;11001;1;I
152414;25402;1;I
204758;25269;1;F
235035;11001;1;J
134793;11001;1;I
214439;11001;1;T
204566;25295;1;J
184717;11001;1;""
236250;25736;1;N
203096;25736;1;T
117349;25736;1;I
227566;25326;1;C
210142;25736;1;C
236997;25736;1;T
156157;11001;1;I
224572;11001;1;K
187631;25312;1;K
138710;25805;1;I
216500;11001;1;O
208753;25740;1;J
161279;11001;1;E
213004;25290;1;J
223788;11001;1;J
170595;25745;1;K
172818;11001;1;K
171764;25175;1;J
237103;25745;1;O
186461;11001;1;""
149689;25745;1;I
197648;25473;1;J
134240;25745;1;I
162151;25745;1;I
189290;25745;1;""
228706;50001;1;J
170840;25754;1;""
184326;11001;1;R
152403;11001;1;I
181731;11001;1;F
183447;25740;1;C
124653;11001;1;I
182854;85162;1;G
185159;25740;1;G
144550;25740;1;I
211483;25740;1;I
97385;25740;1;I
123706;11001;1;""
155721;25740;1;I
136370;25758;1;""
170011;25758;1;T
219000;11001;1;T
188880;25899;1;T
150047;11001;1;I
153711;25758;1;""
215459;11001;1;J
46292;11001;1;""
129304;76001;1;I
170141;11001;1;N
197461;11001;1;F
143089;11001;1;I
201855;11001;1;J
180295;11001;1;R
183970;11001;1;I
53561;25269;1;I
196668;25769;1;C
186694;25260;1;J
216902;25260;1;K
195223;25260;1;I
204208;25260;1;K
205123;11001;1;F
158583;25740;1;I
212917;25740;1;T
124193;11001;1;E
182953;25740;1;H
217810;11001;1;T
225554;25754;1;F
219236;25286;1;K
185973;25183;1;""
173670;11001;1;I
201212;11001;1;F
178357;25772;1;J
165437;25772;1;I
191052;25772;1;""
74625;11001;1;I
170968;11001;1;F
143077;11001;1;T
225464;25772;1;T
191171;25772;1;J
196699;25772;1;I
171145;25772;1;E
212819;25772;1;H
217668;25772;1;T
154510;25772;1;E
185013;25513;1;""
220964;25214;1;J
215035;11001;1;G
171094;13001;1;I
174368;11001;1;T
130419;25772;1;""
156544;11001;1;I
189613;11001;1;H
212402;11001;1;F
191598;11001;1;T
182246;11001;1;""
173688;25126;1;T
210927;25779;1;T
227240;25843;1;J
185956;11001;1;I
181673;25785;1;T
226603;11001;1;T
210961;25799;1;R
216832;25785;1;H
187133;25785;1;T
134962;25785;1;I
188862;25799;1;J
225594;25785;1;T
198542;25785;1;J
190019;63001;1;I
117085;25785;1;I
232259;25899;1;T
222727;25200;1;C
224533;25843;1;T
223912;25899;1;J
231920;25899;1;J
216627;25793;1;J
227894;11001;1;N
223923;25781;1;H
219202;25797;1;K
187411;50001;1;N
129299;11001;1;I
185914;25799;1;T
230486;25799;1;T
227958;25269;1;T
191262;25799;1;R
236760;25799;1;T
169169;25214;1;T
165842;25175;1;I
168961;25214;1;J
208255;25430;1;K
163801;25754;1;P
185976;11001;1;R
217418;25245;1;C
158456;11001;1;I
180320;11001;1;H
138041;11001;1;""
190992;11001;1;F
167078;11001;1;E
203231;11001;1;J
166585;25817;1;I
231868;11001;1;J
205905;25817;1;J
157241;25817;1;""
154882;25817;1;I
179239;25295;1;E
196999;25817;1;T
198813;25817;1;T
153368;25758;1;""
154782;25126;1;I
220370;25758;1;T
228722;25817;1;K
227151;25817;1;F
183483;25817;1;J
169684;25817;1;""
223064;25817;1;N
196072;25126;1;J
230001;8001;1;T
227892;25817;1;K
170017;25899;1;T
139465;25817;1;E
187090;25817;1;T
152891;25758;1;""
165684;25817;1;I
191128;25817;1;J
213493;25843;1;F
210585;25817;1;F
187745;11001;1;""
230868;11001;1;H
119941;11001;1;""
193059;11001;1;I
172345;25839;1;P
218533;11001;1;H
217170;50287;1;N
235170;11001;1;K
143890;25297;1;""
192749;11001;1;T
199607;11001;1;N
181852;11001;1;K
221073;11001;1;H
180220;50573;1;H
136055;25754;1;E
171659;11001;1;""
131872;11001;1;""
183536;25293;1;""
206837;25754;1;T
236915;25841;1;C
235745;11001;1;P
190761;11001;1;""
226997;13001;1;F
233846;11001;1;J
229111;11001;1;J
174805;25841;1;T
213230;11001;1;H
141677;25841;1;I
164591;11001;1;T
186857;11001;1;""
142641;25841;1;E
171190;25181;1;I
212898;11001;1;F
161672;11001;1;I
211495;11001;1;F
178885;25175;1;J
220561;25843;1;T
117541;25175;1;I
159612;11001;1;I
139071;25288;1;E
119396;11001;1;""
173967;11001;1;""
232509;11001;1;K
175205;11001;1;K
209161;11001;1;J
221750;25845;1;C
201928;25295;1;R
178556;11001;1;""
138439;11001;1;P
225429;50001;1;R
215365;11001;1;K
192786;11001;1;""
214211;50001;1;P
122571;11001;1;""
193732;11001;1;J
172752;11001;1;F
87946;25769;1;I
157850;11001;1;I
187506;11001;1;F
170412;11001;1;E
237237;11001;1;R
214639;25799;1;T
211758;25799;1;K
164083;25799;1;E
208653;25799;1;J
156478;11001;1;I
191062;11001;1;P
32045;11001;1;E
173550;11001;1;T
202574;11001;1;R
198101;50001;1;H
224608;11001;1;H
187247;11001;1;I
203289;11001;1;T
152227;11001;1;E
222236;15861;1;N
184944;11001;1;""
91053;11007;1;I
157607;11001;1;P
205118;25851;1;N
179362;11001;1;""
193311;25398;1;J
158473;11001;1;I
189897;11001;1;""
189421;11001;1;""
183961;11001;1;J
221907;11001;1;J
187592;11001;1;T
197353;11001;1;T
156420;11001;1;""
216201;25873;1;J
204394;25841;1;J
187779;11001;1;T
156693;25873;1;I
197411;11001;1;J
196041;25873;1;J
179839;25290;1;J
218971;25873;1;G
41953;11001;1;I
125121;11001;1;P
207573;50287;1;J
121496;11001;1;I
145202;11001;1;I
192995;50001;1;F
49374;25245;1;""
169748;11001;1;I
237252;11001;1;T
157482;25245;1;""
160580;11001;1;I
200508;25645;1;J
231559;11001;1;K
201414;11001;1;K
182480;11001;1;P
187540;25754;1;T
190158;11001;1;""
219395;50573;1;T
71056;11001;1;I
230912;15790;1;K
160453;11001;1;I
162185;11001;1;I
151117;50400;1;""
178215;11001;1;E
189579;25885;1;J
230487;11001;1;T
187385;25754;1;K
213234;25269;1;R
233021;25430;1;T
203429;25473;1;T
218493;25286;1;J
118472;54001;1;E
173820;25245;1;T
176924;50001;1;J
172469;85001;1;J
202544;50226;1;G
229527;50001;1;J
235530;50001;1;T
200601;11001;1;I
158429;50226;1;I
228192;11001;1;N
144775;11001;1;""
127111;50606;1;""
159314;11001;1;E
138475;50606;1;""
193375;50001;1;T
236089;50006;1;H
190297;50606;1;J
189638;50001;1;J
207305;50001;1;N
212919;50001;1;F
220471;85440;1;H
205044;85001;1;J
227126;50001;1;H
199042;50001;1;K
182168;50001;1;J
224632;50318;1;P
214129;50001;1;F
161637;11001;1;T
138175;11001;1;P
181698;25290;1;T
164625;11001;1;""
57058;11001;1;E
223301;5001;1;F
194306;5266;1;""
176795;5266;1;J
112196;5001;1;P
194663;11001;1;""
227662;5001;1;J
159760;76001;1;I
160594;5001;1;I
226905;5308;1;J
225962;5001;1;P
180744;5001;1;I
235928;5631;1;T
169381;5001;1;J
165910;5001;1;E
182910;5001;1;J
153160;5088;1;E
187418;5088;1;""
183981;5001;1;""
234412;5001;1;T
194844;5088;1;P
228019;5001;1;J
182870;76001;1;J
207402;5607;1;J
195677;11001;1;J
165743;5001;1;E
216764;5001;1;J
177802;11001;1;""
189405;13001;1;T
223869;5001;1;F
220540;5001;1;T
222817;5308;1;N
222006;5642;1;J
188721;5670;1;""
186157;5001;1;J
172417;5631;1;I
167367;8001;1;I
179467;5001;1;""
213656;5893;1;J
226449;5001;1;T
217378;5642;1;T
109631;5001;1;I
227626;15759;1;J
207794;68190;1;F
223134;5887;1;F
186149;5686;1;R
184682;11001;1;N
218326;8001;1;G
199349;5001;1;I
214031;5001;1;J
167843;50313;1;R
224552;5001;1;K
214153;5001;1;J
140737;76364;1;I
235763;8001;1;J
147438;11001;1;""
115002;8758;1;E
194322;11001;1;K
204694;8001;1;O
190996;8296;1;F
187142;8001;1;P
171085;8372;1;""
187318;8001;1;F
219069;47001;1;J
225838;8436;1;F
168941;8001;1;G
165089;8001;1;""
191670;8573;1;F
220183;8001;1;J
226784;8573;1;J
232966;8001;1;F
186085;11001;1;T
231314;8634;1;R
216268;8758;1;R
118932;11001;1;""
193681;8685;1;T
136996;8001;1;E
225472;68001;1;I
228341;8001;1;J
139642;13001;1;""
178501;8001;1;E
231884;13001;1;J
176181;13001;1;J
161497;13001;1;I
101173;13001;1;E
207757;68081;1;T
164295;13836;1;""
234854;13001;1;J
159761;8001;1;E
148140;5088;1;I
163032;13001;1;I
181580;68001;1;J
217816;13001;1;T
147427;13001;1;E
223173;13683;1;T
143065;68001;1;P
212193;68276;1;J
192119;11001;1;K
173805;11001;1;""
172045;11001;1;H
210089;15001;1;J
234094;15001;1;T
230775;15764;1;T
137039;11001;1;E
203757;11001;1;T
191156;11001;1;T
128211;11001;1;""
207779;11001;1;K
192156;11001;1;T
134173;11001;1;""
176439;50001;1;G
233099;11001;1;N
232601;11001;1;R
201140;11001;1;T
179020;11001;1;K
197766;11001;1;T
165206;11001;1;I
233059;25754;1;H
211979;11001;1;T
237471;11001;1;J
228885;11001;1;J
164346;11001;1;I
176943;11001;1;T
183734;25430;1;J
234043;11001;1;H
228381;66170;1;C
182794;11001;1;P
211919;50001;1;T
171162;11001;1;""
155453;11001;1;I
182722;15097;1;""
209618;15299;1;F
153779;11001;1;I
227196;11001;1;R
146673;11001;1;I
161013;11001;1;I
200498;11001;1;T
235633;15673;1;K
184438;50001;1;F
163308;11001;1;T
209897;15097;1;T
183472;11001;1;""
211914;11001;1;K
222835;11001;1;J
235880;11001;1;F
233848;15106;1;T
209957;11001;1;J
143261;11001;1;""
182114;25126;1;""
198204;11001;1;K
205999;25269;1;R
233771;11001;1;F
235729;85001;1;K
183803;25126;1;T
231803;15176;1;F
179187;11001;1;""
214826;11001;1;I
173760;85440;1;G
212328;11001;1;G
193326;25290;1;K
170117;25799;1;T
147615;8001;1;E
146022;11001;1;E
168210;15001;1;I
128505;11001;1;""
148638;25899;1;I
153687;11001;1;J
202369;11001;1;R
191775;25430;1;T
173397;11001;1;T
208219;15001;1;C
231556;15001;1;J
230791;11001;1;T
187276;11001;1;J
182221;15001;1;""
180549;11001;1;J
182857;15238;1;F
164024;15759;1;I
161213;50001;1;""
224575;11001;1;F
191734;11001;1;""
231605;11001;1;K
223810;15759;1;J
236205;15514;1;T
183457;11001;1;J
185176;11001;1;J
188351;11001;1;""
201543;11001;1;K
195917;11001;1;I
192476;25817;1;P
167409;11001;1;""
142734;85162;1;I
171302;50001;1;P
122300;11001;1;""
212028;25260;1;O
186251;11001;1;T
160120;11001;1;I
206774;15001;1;T
191114;15407;1;J
190220;11001;1;""
197860;15232;1;C
221591;11001;1;J
176393;25295;1;""
217336;11001;1;R
175983;50568;1;J
222469;11001;1;T
132146;11001;1;""
123641;11001;1;""
150969;11001;1;I
194212;25899;1;""
183809;25754;1;""
180024;25754;1;K
177947;15238;1;H
198840;25312;1;R
160555;11001;1;I
140530;68276;1;I
108759;11001;1;E
177394;11001;1;""
215735;11001;1;T
151441;11001;1;E
191139;15244;1;J
221715;15244;1;T
234001;11001;1;T
161769;11001;1;E
216738;25754;1;T
167576;68001;1;H
226283;11001;1;J
207640;50568;1;J
184145;68077;1;J
221081;15272;1;H
193176;11001;1;J
200992;11001;1;H
136710;11001;1;""
235333;25817;1;P
202552;11001;1;F
177744;11001;1;""
219048;15001;1;P
88786;11001;1;""
234898;11001;1;J
137226;11001;1;""
228194;15296;1;J
125097;11001;1;""
170872;25438;1;I
190271;11001;1;J
201831;25175;1;N
49032;11001;1;E
217797;11001;1;N
201296;11001;1;K
209262;11001;1;J
180997;11001;1;J
201453;11001;1;K
209179;11001;1;J
167268;25286;1;E
213499;25817;1;F
164190;15332;1;I
232422;68001;1;F
77456;11001;1;I
234227;11001;1;P
184798;25295;1;J
197445;15759;1;T
152653;25758;1;E
203317;11001;1;I
162834;11001;1;I
121516;25286;1;I
183609;25740;1;T
173105;11001;1;T
206724;11001;1;N
188340;11001;1;T
168446;11001;1;F
189243;25486;1;K
140355;11001;1;""
185852;11001;1;""
193829;25486;1;J
235814;15755;1;N
210407;85001;1;G
173592;15759;1;I
194747;11001;1;T
167386;11001;1;H
191664;11001;1;K
138881;11001;1;I
231156;15808;1;J
198116;15407;1;C
214075;11001;1;E
201689;11001;1;R
185044;50150;1;""
229377;68861;1;F
221581;50568;1;F
45261;15176;1;""
213511;11001;1;K
211584;25430;1;K
212657;25286;1;K
171410;15176;1;K
196559;25754;1;J
199589;25754;1;K
188501;15001;1;G
